REGION,TYPE,AREA,GENDER,MATH,READING,SCIENCE
CENTRAL,PUBLIC,URBAN,Female,516.288,475.001,538.736
CENTRAL,PUBLIC,URBAN,Male,541.447,494.702,581.63
CENTRAL,PUBLIC,URBAN,Female,477.652,508.68,524.562
CENTRAL,PUBLIC,URBAN,Male,497.282,464.308,497.986
CENTRAL,PUBLIC,URBAN,Female,534.203,557.61,606.807
CENTRAL,PUBLIC,URBAN,Male,493.465,457.09,508.896
CENTRAL,PUBLIC,URBAN,Female,633.907,657.852,659.959
CENTRAL,PUBLIC,URBAN,Female,453.038,511.857,536.498
CENTRAL,PUBLIC,URBAN,Male,542.304,473.931,563.913
CENTRAL,PUBLIC,URBAN,Female,546.978,534.734,573.238
CENTRAL,PUBLIC,URBAN,Male,492.686,464.308,531.276
CENTRAL,PUBLIC,URBAN,Female,505.383,470.236,516.356
CENTRAL,PUBLIC,URBAN,Female,487.701,516.385,541.533
CENTRAL,PUBLIC,URBAN,Female,547.99,553.003,628.907
CENTRAL,PUBLIC,URBAN,Male,618.874,506.811,600.28
CENTRAL,PUBLIC,URBAN,Female,398.98,465.787,478.87
CENTRAL,PUBLIC,URBAN,Female,551.963,569.842,593.379
CENTRAL,PUBLIC,URBAN,Female,529.997,539.182,565.405
CENTRAL,PUBLIC,URBAN,Male,618.796,546.908,635.062
CENTRAL,PUBLIC,URBAN,Female,459.893,447.042,464.696
CENTRAL,PUBLIC,URBAN,Male,515.509,529.266,590.022
CENTRAL,PUBLIC,URBAN,Male,600.724,616.838,628.254
CENTRAL,PUBLIC,URBAN,Male,454.362,461.1,518.128
CENTRAL,PUBLIC,URBAN,Female,452.025,488.664,521.858
CENTRAL,PUBLIC,URBAN,Male,658.6,598.233,690.451
CENTRAL,PUBLIC,URBAN,Female,450.545,452.125,491.458
CENTRAL,PUBLIC,URBAN,Female,496.425,533.224,503.581
NORTH,PUBLIC,URBAN,Male,590.598,577.543,563.913
NORTH,PUBLIC,URBAN,Female,496.035,515.67,534.073
NORTH,PUBLIC,URBAN,Female,671.841,587.952,623.592
NORTH,PUBLIC,URBAN,Male,452.726,445.061,473.461
NORTH,PUBLIC,URBAN,Female,471.888,564.123,518.221
NORTH,PUBLIC,URBAN,Male,547.757,581.552,537.803
NORTH,PUBLIC,URBAN,Male,646.214,515.793,634.409
NORTH,PUBLIC,URBAN,Female,572.06,501.055,579.392
NORTH,PUBLIC,URBAN,Male,531.477,468.398,498.918
NORTH,PUBLIC,URBAN,Female,509.044,510.904,500.224
NORTH,PUBLIC,URBAN,Female,483.261,529.968,498.918
NORTH,PUBLIC,URBAN,Female,508.265,517.259,542.186
NORTH,PUBLIC,URBAN,Female,563.413,562.614,576.315
NORTH,PUBLIC,URBAN,Male,364.94,413.785,365.946
NORTH,PUBLIC,URBAN,Female,534.671,537.593,559.81
NORTH,PUBLIC,URBAN,Female,521.273,513.287,506.099
NORTH,PUBLIC,URBAN,Male,422.348,500.556,514.304
NORTH,PUBLIC,URBAN,Female,560.999,533.304,594.498
NORTH,PUBLIC,URBAN,Female,553.677,517.894,565.778
NORTH,PUBLIC,URBAN,Female,626.507,602.329,554.868
NORTH,PUBLIC,URBAN,Male,622.223,566.957,626.389
NORTH,PUBLIC,URBAN,Male,635.154,564.551,605.222
NORTH,PUBLIC,URBAN,Female,628.221,559.357,603.077
NORTH,PUBLIC,URBAN,Female,674.022,621.313,647.743
NORTH,PUBLIC,URBAN,Male,461.373,474.733,554.495
NORTH,PUBLIC,URBAN,Female,458.958,512.652,493.976
NORTH,PUBLIC,URBAN,Female,478.353,536.243,562.98
NORTH,PUBLIC,URBAN,Male,630.013,511.462,570.44
NORTH,PUBLIC,URBAN,Female,559.752,534.098,571
NORTH,PUBLIC,URBAN,Female,411.443,475.319,493.79
NORTH,PUBLIC,URBAN,Male,719.59,627.744,719.638
NORTH,PUBLIC,URBAN,Male,642.086,553.324,655.203
NORTH,PUBLIC,URBAN,Female,493.465,444.182,460.407
NORTH,PUBLIC,URBAN,Male,560.531,558.296,587.784
NORTH,PUBLIC,URBAN,Male,551.574,529.185,579.765
NORTH,PRIVATE,URBAN,Female,369.38,413.204,400.727
NORTH,PRIVATE,URBAN,Female,437.927,557.133,490.992
NORTH,PRIVATE,URBAN,Male,433.954,368.796,466.934
NORTH,PRIVATE,URBAN,Female,441.821,538.864,533.141
NORTH,PRIVATE,URBAN,Male,464.722,427.579,448.844
NORTH,PRIVATE,URBAN,Male,494.945,489.97,508.243
NORTH,PRIVATE,URBAN,Male,485.597,499.594,493.323
NORTH,PRIVATE,URBAN,Female,456.076,514.082,498.639
NORTH,PRIVATE,URBAN,Female,445.95,513.287,507.031
NORTH,PRIVATE,URBAN,Female,432.474,490.411,493.976
NORTH,PRIVATE,URBAN,Female,491.907,519.642,529.131
NORTH,PRIVATE,URBAN,Male,439.562,485.239,494.256
NORTH,PRIVATE,URBAN,Male,422.27,433.754,471.596
NORTH,PRIVATE,URBAN,Male,415.805,485.159,469.731
NORTH,PRIVATE,URBAN,Female,417.752,450.537,511.6
NORTH,PRIVATE,URBAN,Male,472.667,439.287,491.179
NORTH,PRIVATE,URBAN,Female,536.151,587.952,544.237
NORTH,PRIVATE,URBAN,Male,459.893,454.364,500.131
NORTH,PRIVATE,URBAN,Female,508.187,506.138,501.716
NORTH,PRIVATE,URBAN,Male,354.58,431.589,475.14
NORTH,PRIVATE,URBAN,Male,451.246,436.32,490.526
NORTH,PRIVATE,URBAN,Male,495.646,510.099,509.176
NORTH,PRIVATE,URBAN,Male,470.33,435.278,493.044
NORTH,PRIVATE,URBAN,Male,437.303,410.257,507.591
NORTH,PRIVATE,URBAN,Male,457.4,460.459,481.854
NORTH,PRIVATE,URBAN,Male,432.708,493.98,483.439
NORTH,PRIVATE,URBAN,Male,430.916,500.556,498.452
NORTH,PRIVATE,URBAN,Male,464.566,433.513,519.713
NORTH,PRIVATE,URBAN,Female,453.505,438.622,493.044
NORTH,PRIVATE,URBAN,Male,484.195,446.826,538.363
NORTH,PRIVATE,URBAN,Female,449.299,506.138,504.234
NORTH,PRIVATE,URBAN,Male,500.164,471.445,547.128
NORTH,PRIVATE,URBAN,Male,435.668,447.467,472.436
NORTH,PRIVATE,URBAN,Male,424.139,403.36,413.782
NORTH,PUBLIC,RURAL,Female,652.991,584.775,630.026
NORTH,PUBLIC,RURAL,Female,572.137,545.06,604.01
NORTH,PUBLIC,RURAL,Female,557.805,579.136,602.145
NORTH,PUBLIC,RURAL,Male,656.808,595.987,654.364
NORTH,PUBLIC,RURAL,Male,553.131,513.146,601.212
NORTH,PUBLIC,RURAL,Male,635.777,566.155,639.444
NORTH,PUBLIC,RURAL,Male,478.509,484.437,455.091
NORTH,PUBLIC,RURAL,Male,635.777,592.78,625.457
NORTH,PUBLIC,RURAL,Female,492.92,509.316,527.546
NORTH,PUBLIC,RURAL,Female,530.542,492.556,566.71
NORTH,PUBLIC,RURAL,Female,472.979,540.294,477.191
NORTH,PUBLIC,RURAL,Male,585.379,551.72,630.772
NORTH,PUBLIC,RURAL,Male,560.531,507.773,572.865
NORTH,PUBLIC,RURAL,Female,622.535,682.634,637.393
NORTH,PUBLIC,RURAL,Male,614.979,538.087,593.752
NORTH,PUBLIC,RURAL,Male,611.006,493.659,573.797
NORTH,PUBLIC,RURAL,Female,680.643,598.914,670.216
NORTH,PUBLIC,RURAL,Female,554.923,542.677,516.636
NORTH,PUBLIC,RURAL,Female,585.379,616.548,642.894
NORTH,PUBLIC,RURAL,Female,556.792,541.723,540.601
NORTH,PUBLIC,RURAL,Female,575.02,602.25,625.457
NORTH,PUBLIC,RURAL,Male,627.52,583.958,621.354
NORTH,PUBLIC,RURAL,Female,645.591,622.902,641.309
NORTH,PUBLIC,RURAL,Male,652.913,606.413,599.347
NORTH,PUBLIC,RURAL,Male,640.606,541.295,593.1
NORTH,PUBLIC,RURAL,Male,661.559,572.651,587.505
NORTH,PUBLIC,RURAL,Female,720.915,642.76,700.988
NORTH,PUBLIC,RURAL,Female,610.539,550.461,622.66
NORTH,PUBLIC,RURAL,Female,561.933,470.077,556.08
NORTH,PUBLIC,RURAL,Male,633.596,614.272,636.927
NORTH,PUBLIC,RURAL,Female,459.815,474.366,500.41
